Title,URL,Description,Skills Set
AI Automation / AI agent / Chatbot Engineer (n8n + Gorgias + Gemini via OpenRouter),https://www.upwork.com/jobs/~022015033308464829265,"We’re looking for an experienced AI / automation engineer to take over and further develop an existing production AI chatbot used in customer support.

Important context upfront:
We already have a working AI bot, custom-built for our support operations. Unfortunately, the original developer is no longer responsive. 

The system works, but iteration and learning have stalled, so we’re looking for someone who can understand the current setup, improve it, and take ownership going forward.

Current setup

• Customer support platform: Gorgias
• AI integration: Draft responses via Gorgias API
• Automation layer: Self-hosted n8n
• Hosting: DigitalOcean droplet
• LLM provider: Gemini (latest model) via OpenRouter
• Data sources:
• SQL database (historical outgoing support emails)
• Shopify data
• Internal structured support data

The AI currently:
• Generates draft replies inside Gorgias for human agents
• Performs database checks before responding
• Uses Shopify + internal data for contextual, order-aware replies

This is not a greenfield project and not a simple FAQ bot, it’s already live and used daily.

What’s not working well (yet)
• The learning loop is slow / appears to be stagnating
• The bot is intended to learn from:
• historical outgoing emails (stored in SQL)
• agent behavior
• That improvement pipeline exists conceptually, but isn’t delivering the expected results
• We were in the process of implementing agent feedback prompting, e.g.:
“No — rewrite this differently”
so the AI can adapt tone, structure, or reasoning over time

At the moment, that adaptive behavior is underdeveloped.

What we’re looking for

Ideally, you:
• Can analyze and improve an existing n8n-based AI architecture
• Are comfortable with:
• LLMs (Gemini, GPT, Claude, etc.)
• Prompt design & iteration
• Feedback loops and evaluation
• Understand when to use:
• prompt engineering
• RAG / vector databases
• structured memory vs fine-tuning
• Can reason about why an AI isn’t learning effectively
• Have opinions on:
• self-hosted n8n vs alternatives
• OpenRouter vs direct providers
• cost / latency / quality trade-offs

We’re very open to architectural recommendations, but we prefer to build on what exists unless there’s a strong, well-argued reason not to.

Bonus points if you:
• Have built customer support AI (Gorgias, Zendesk, Intercom, etc.)
• Have production experience with multi-LLM setups
• Care about cost efficiency and observability
• Can explain complex trade-offs clearly (no buzzword soup)

How to apply: 

To confirm you’ve actually read this:
1. Start your message with:
“AI chatbot legend”
2. Briefly describe 1–3 comparable projects
3. If possible, share:
• A live chatbot we can test
• Or a product / website where your AI is actively used

Links and demos are very welcome.

Practicalities
• Freelance / contract role
• Potential for long-term collaboration
• Direct access to:
• n8n workflows
• server & logs
• Gorgias setup
• We value ownership, clarity, and good reasoning over speed

Looking very much forward to your application!",
CRM Automation – Lead Management to Appointment Booking for Real Estate Agencies,https://www.upwork.com/jobs/~022015030250569749329,"About the project

We are building a high-growth French agency focused on automating lead management and appointment booking for local real estate agents and small agencies in France.

Our goal is simple:
help real estate teams book more appointments without hiring or adding complexity.

We are currently structuring a standardized, repeatable MVP that can be deployed quickly across multiple agencies. This is not a one-off project — we are building a long-term service meant to scale nationally.

What we are looking for

We are looking for a reliable automation & CRM specialist to help us build a clean and simple Lead → Appointment system, including:
- ""Centralized lead intake (website, portals, ads, manual entries)""
- ""Instant lead acknowledgment (SMS / email)""
- ""Simple CRM pipeline (New → Contacted → Appointment Booked)""
- ""Structured follow-up automation""
- ""Appointment booking integration""
The focus is on speed, reliability, and conversion, not complexity.

Who this project is for

This project is ideal for someone who:
- ""Enjoys building simple, business-driven systems""
- ""Understands that agents must actually use the system""
- ""Thinks in terms of results (appointments booked), not tools""
- ""Is comfortable working with tools like Make, Zapier, CRM platforms""

Why join us

We are a French-based agency with a clear vision: deploy a proven system for local real estate professionals across France.

The right partner will have the opportunity to:
- ""Work on a repeatable, scalable service""
- ""Be part of a long-term collaboration""
- ""Grow with the agency as we expand nationally""

If this sounds aligned with how you think and work, we’d love to hear from you.",
"Full-Stack Developer - Lead Generation, Automation & Attribution",https://www.upwork.com/jobs/~022014954573959791421,"About the Role
We’re a growing lead generation company looking for a skilled, self-directed developer who can own our entire technical stack. This is not a task-by-task role - we need someone who can take ownership, solve problems independently, and ship work without being chased.
What You’ll Be Doing
∙ Designing and building high-converting lead generation websites (landing pages, multi-step forms, thank you pages)
∙ Implementing and managing automation workflows (n8n, Make/Integromat, Zapier)
∙ Integrating forms and lead flows with CRMs and dialers
∙ Setting up and maintaining attribution/tracking systems (pixels, UTM parameters, conversion APIs, call tracking)
∙ Managing hosting, domains, DNS, and site performance
∙ Building dashboards and reports to track lead quality and conversion metrics
∙ Troubleshooting and fixing issues quickly when they arise
Required Skills
Web Development:
∙ Webflow (required)
∙ HTML, CSS, JavaScript
∙ Mobile-responsive, fast-loading design
∙ Form builders and lead capture optimization
Infrastructure:
∙ AWS (EC2, S3, Lambda, or similar services)
∙ Hosting environments, DNS management
∙ Database basics (MySQL, data exports/imports)
∙ Version control (Git)
Automation & Integrations:
∙ n8n (required)
∙ API integrations (REST, webhooks)
∙ CRM integrations (GHL, Salesforce, or similar)
∙ Twilio (SMS, voice, messaging APIs)
∙ VICIdial configuration and management
Attribution & Tracking:
∙ Google Analytics / GA4
∙ Facebook/Meta Pixel, Google Ads conversion tracking
∙ Server-side tracking and conversion APIs
∙ Call tracking platforms (CallRail, Ringba, or similar)
∙ UTM management and lead source attribution
AI & Chatbot Integrations:
∙ Retell AI
∙ ChatBotBuilder
∙ AI tool integrations and workflow automation
∙ Conversational AI for lead qualification
What We’re Looking For
∙ Self-starter: You don’t wait to be told what to do. You see problems and fix them.
∙ Responsive: Same-day communication is non-negotiable. We move fast.
∙ Lead gen experience: You understand that the goal is conversions, not just pretty websites.
∙ Reliable: You hit deadlines and don’t disappear.
∙ Clear communicator: You can explain technical concepts simply and keep us updated on progress.
Project Scope
Immediate priorities:
∙ Redesign and optimize existing lead generation websites
∙ Audit and improve current automation workflows
∙ Implement proper attribution tracking across all lead sources
∙ Ensure all systems are documented and accessible
Ongoing work available for the right person.
To Apply
Send us:
1. 2-3 examples of lead generation sites you’ve built
2. Brief explanation of an automation workflow you’ve created
3. Your experience with attribution/tracking setup
4. Your availability and hourly rate
We’re not looking for a generalist agency or someone who outsources the work. We want one capable person who can own this.",
AI Automation,https://www.upwork.com/jobs/~022014952924590920529,,
AI Automation & Workflow Specialist (Make.com / H^n8n^H),https://www.upwork.com/jobs/~022014932044077301465,,
N8N Fix Automation Agent,https://www.upwork.com/jobs/~022014925587961166239,"Project Overview

I am hiring to implement and finalize two AI agents inside n8n for my tax business automation system:
• Lady Ledger — Primary AI Tax Assistant (phone + chat)
• Tax Coach AI — Basic tax education + upsell routing assistant

The full workflow logic, routing, and system design have already been created by ChatGPT and delivered as JSON workflows.

This project is NOT a from-scratch build.
This is a structured implementation, debugging, and testing project.

Scope of Work

Technical VA Responsibilities:
• Import all provided JSON workflows into n8n
• Connect credentials:
• APIs
• Webhooks
• Test Stripe keys
• SMS/voice credentials
• Fix simple node errors
• Organize and label workflows
• Run basic tests
• Document bugs and broken logic
• Prepare workflows for senior engineer review


Senior n8n Engineer Responsibilities:
• Debug complex routing logic between Lady Ledger and Tax Coach AI
• Fix AI model and prompt handling
• Repair voice + SMS logic
• Fix Stripe → unlock → scheduling logic
• Debug webhook edge cases
• Optimize reliability and performance
• Run full end-to-end testing
• Final validation of the system


System Features Being Implemented
• AI phone agent
• AI chat agent
• Call + chat routing
• Stripe payment verification
• SMS follow-ups
• Calendar scheduling
• After-hours logic
• AI upsell routing
• Multi-agent handoff logic


Required Skills
• Strong experience with n8n
• Advanced debugging of complex workflows
• API integrations
• Webhooks
• AI agent integrations
• Stripe API
• SMS/voice automation

What I Provide
• Full ChatGPT-generated JSON workflows
• Exact logic flow documentation
• API keys and test credentials
• Access to n8n
• Clear specs for how everything should work

Deliverables
By project completion, I expect:

✅ Fully working Lady Ledger AI agent
✅ Fully working Tax Coach AI agent
✅ Phone + chat flows operational
✅ Stripe → unlock → calendar logic working
✅ SMS automation working
✅ Clean, documented n8n workflows
✅ End-to-end testing completed

Timeline

Expected timeline for full implementation:

1–2 weeks
This includes:
• Import
• Cleanup
• Debugging
• Testing
• Final validation


How to Apply (REQUIRED)

In your proposal, please include:
1. Your experience level with n8n
2. Examples of workflows you’ve built
3. Experience with:
• Voice
• Stripe
• AI agents
4. Confirmation you can work from existing JSON (not rebuild)

Proposals without real n8n experience will be ignored.

Confidentiality & IP

All workflows, prompts, logic, and system designs are confidential and proprietary.
This is work-for-hire. No reuse or resale permitted.

Important Notes

This is an implementation project.
This is not an open-ended redesign.
This is not experimental work.

You will be implementing to spec.

👑 Why This Matters

This is a production-level AI + automation system for a real tax business.
Quality, reliability, and attention to detail matter.",
n8n expert with AI prompt engineering experience,https://www.upwork.com/jobs/~022014920262446155247,"Long term n8n workflow expert dev needed. We will start as a part-time job, as the clientele grows, it could lead to a long-term position. 

- set up and maintain production-level n8n workflows for different clients
- assist design/develop AI agent/ RAG to work for clients across industries. 
- design systems to create and optimize AI prompts to generate AI videos with different models and requirements.",
"AI Agent Engineer (LLMs, Automation, Tooling)",https://www.upwork.com/jobs/~022014911412890930320,"I'm a non-technical founder (but can read it and use most off the shelf 3rd party tools) looking for one great automation engineer to partner with on 10+ projects over the next few months ($500–$5,000 each). 

If you are interested in the long term engagement, please make sure to read below.

The Automation:

- Pull meeting transcripts from Granola API (filtered by folder)
- Send to Claude API to generate social media posts
- Create individual drafts in Typefully (e.g., 20 separate drafts)
- Run daily on a schedule

To Apply:

Record a 2-minute Loom walking me through how you'd build this. Explain it like I'm a smart but non-technical founder. 

Cover:

What platform you'd deploy on and why
How you'd set up the daily schedule
How you'd handle API keys securely
One thing you'd improve about this automation and how we can make it better / more scaleable with better outputs

What I'm Evaluating:

Can you explain technical concepts clearly to a non-technical person?
Do you have real opinions or just generic answers?
Would we enjoy working together?

Important: Build it so I can edit it myself using common tools, no custom code I can't touch easily. 

I am a founder who has built multiple companies, and hope to have fun building cutting edge stuff together.",
AI Assistant Development for Fireflies Transcripts,https://www.upwork.com/jobs/~022014907881157376415,"We are hiring an experienced automation / AI engineer to build an internal, citation-first AI assistant that allows our team to query historical Fireflies.ai meeting transcripts and receive verbatim, timestamped evidence within seconds.

This tool will be used internally to:
• resolve scope disputes
• validate client requests
• retrieve “receipts” (who said what, when)

Accuracy and traceability matter more than summaries.

Core Objectives
• Ingest historical and new Fireflies.ai meeting transcripts
• Index transcripts for fast, client-scoped semantic search
• Provide chat-based answers with direct quotes, speaker attribution, meeting context, and clickable timestamps

Key Requirements

1. Fireflies Ingestion
• One-time backfill of historical Fireflies transcripts (date-range configurable)
• Ongoing ingestion triggered by Fireflies webhooks
• Use Fireflies GraphQL API to retrieve:
• transcript metadata
• sentence-level text with timestamps
• transcript URLs

2. Storage & Indexing
• Use Supabase (Postgres + pgvector)
• Store:
• Clients (canonical name, aliases, email domains)
• Transcripts (meeting metadata)
• Transcript chunks with text, timestamps, and embeddings

3. AI Retrieval (RAG)
• Chunk transcripts intelligently (sentence-based or short time windows)
• Generate embeddings during ingestion
• At query time:
• Resolve relevant client
• Perform vector search scoped to that client
• Extract and return only verifiable evidence

4. Evidence-First Responses
Each answer must include:
• verbatim quote(s)
• speaker name
• meeting title and date
• timestamp(s)
• clickable link back to Fireflies at the relevant moment

5. Chat Interface
• Slack-based interface (slash command or bot)
• Example:
/scope when did Acme Painting ask for online booking?
• Responses must be concise and easy to verify

6. Automation
• Use our self-hosted n8n instance for ingestion and orchestration
• Workflows must be documented and safe to re-run

Non-Goals
• No customer-facing UI
• No summarization without citations
• No hallucinated answers — “no evidence found” is acceptable

Timeline

Target delivery: 2–4 weeks",
n8n Specialist Needed with Active Subscription,https://www.upwork.com/jobs/~022014902407605015377,"We are seeking an experienced n8n specialist who has an active subscription to help automate our workflows efficiently. The ideal candidate will have a strong understanding of n8n’s features and capabilities, and will be able to design, implement, and optimize workflows tailored to our business needs. If you are passionate about automation and have the necessary expertise, we would love to hear from you. Please include examples of previous n8n projects in your application.",
